Restaurant Name,outlet_count,avg_rating,total_votes,avg_votes,cities,countries,avg_cost
The Chai Story,3,3.7,206,69.0,1,1,300.0
The Chaiwalas,3,0.97,9,3.0,2,1,300.0
Bats On Delivery,3,2.7,108,36.0,2,1,700.0
BarShala,3,3.27,85,28.0,1,1,600.0
Bake N Shake,3,4.2,446,149.0,1,1,500.0
Baked Buns,3,3.4,273,91.0,1,1,500.0
Tea Halt,3,2.87,118,39.0,1,1,433.0
Taco Bell,3,3.87,825,275.0,3,1,567.0
Havmor Ice Cream,3,3.37,57,19.0,1,1,200.0
Habibi Express,3,1.5,177,59.0,1,1,850.0
Goosebumps,3,3.8,387,129.0,1,1,300.0
Gazebo,3,4.17,1279,426.0,3,2,88.0
Wah G Wah,3,1.77,46,15.0,1,1,450.0
Urban Punjab,3,3.43,403,134.0,1,1,650.0
Veg Ex,3,3.6,113,38.0,2,1,500.0
True Blue,3,3.17,68,23.0,1,1,967.0
Tikka Junction,3,3.43,150,50.0,1,1,750.0
Tikka Town,3,3.03,309,103.0,1,1,550.0
Amici Cafe,3,3.7,1896,632.0,2,1,1200.0
Amul Ice-Cream Parlour,3,1.0,5,2.0,1,1,200.0
Om Sweets & Snacks,3,3.13,638,213.0,1,1,500.0
Onesta,3,4.5,2821,940.0,1,1,600.0
Not Just Paranthas,3,3.33,1647,549.0,2,1,1100.0
Niti Shake & Ice Cream Hub,3,1.27,25,8.0,1,1,267.0
Chinese Food,3,2.0,21,7.0,2,1,250.0
Chinese Food Corner,3,0.83,20,7.0,2,1,367.0
New Madras Cafe,3,1.97,47,16.0,1,1,267.0
Naivedyam,3,3.87,2481,827.0,1,1,500.0
Mr. Brown,3,3.87,285,95.0,3,1,500.0
Muradabadi Shahi Biryani & Chicken Corner,3,1.97,92,31.0,1,1,433.0
Breaktym,3,2.77,37,12.0,1,1,400.0
Bunty Dhaba,3,2.83,84,28.0,1,1,500.0
Punjab Restaurant,3,3.27,137,46.0,3,2,277.0
Pizza Hub,3,0.0,7,2.0,1,1,317.0
Pizza Station,3,2.17,28,9.0,1,1,283.0
Polka Pastry & Snack Bar,3,3.1,139,46.0,1,1,350.0
Chimney,3,3.03,95,32.0,2,1,667.0
Chawla's Chic Inn,3,3.03,155,52.0,2,1,650.0
Chawla's Tandoori Junction,3,2.27,195,65.0,1,1,633.0
Changezi Chicken,3,3.5,1017,339.0,1,1,600.0
Chaophraya,3,4.17,505,168.0,3,1,50.0
Palmshore,3,4.3,2228,743.0,1,1,850.0
Saravana Bhavan,3,4.13,7238,2413.0,1,1,500.0
Rollmaal,3,3.4,719,240.0,3,1,500.0
Riyaz Biryani Corner,3,0.0,3,1.0,2,1,217.0
Roll Club,3,3.07,162,54.0,1,1,250.0
QD's Restaurant,3,4.03,3536,1179.0,1,1,800.0
Radha Swami Shudh Vaishno Dhaba,3,0.0,6,2.0,1,1,267.0
Punjabi Dhaba,3,2.2,107,36.0,1,1,233.0
Punjabi Pakwaan,3,3.13,199,66.0,1,1,933.0
Cakes & Bakes,3,3.17,92,31.0,1,1,333.0
Captain Bill$ Deliverz,3,2.53,273,91.0,1,1,1000.0
Cafe Delhi Heights,3,4.03,2711,904.0,3,1,1833.0
Cafe Turtle,3,3.43,861,287.0,1,1,1000.0
Burger Singh,3,3.43,757,252.0,2,1,500.0
Movenpick,3,3.97,253,84.0,2,1,650.0
Mitra Da Dhaba,3,2.1,273,91.0,1,1,317.0
Midnight Hunger Hub,3,4.03,114,38.0,1,1,800.0
Mamagoto,3,4.17,2633,878.0,3,1,1600.0
D�_ner Grill,3,3.8,590,197.0,1,1,900.0
Doughlicious,3,3.5,304,101.0,1,1,550.0
Desi Vibes,3,3.9,3043,1014.0,2,1,1433.0
Dilli Darbar,3,3.1,204,68.0,2,1,717.0
Defence Bakery,3,3.7,791,264.0,2,1,317.0
